,'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
90.00313568115233,90.0,90.0,90.0,90.0,765.8258056640626,765.8258056640626,764.9622192382812,764.9622192382812,765.8258056640626
90.01277160644531,90.0,90.0,90.00257110595702,90.0,764.4630737304686,764.4630737304686,764.5048217773436,764.5045166015626,764.467529296875
90.01278686523438,90.0,90.0,90.00257873535155,90.0,764.4604492187501,764.4604492187501,764.50390625,764.503662109375,764.4649047851561
90.01280975341795,90.0,90.0,90.00257873535155,90.0,764.457763671875,764.457763671875,764.5030517578125,764.5027465820312,764.4622802734374
90.01280975341795,90.0,90.0,90.00257873535155,90.0,764.4574584960938,764.4574584960938,764.5029296875,764.5026245117188,764.4619140625
90.01280975341795,90.0,90.0,90.00257873535155,90.0,764.456787109375,764.456787109375,764.5027465820312,764.5024414062499,764.4612426757811
90.0128173828125,90.0,90.0,90.0025863647461,90.0,764.455810546875,764.455810546875,764.5023803710938,764.5020751953125,764.4602661132812
90.01283264160156,90.0,90.0,90.0025863647461,90.0,764.4537963867188,764.4537963867188,764.501708984375,764.5014038085938,764.4583129882812
90.01286315917967,90.0,90.0,90.00259399414062,90.0,764.4498291015626,764.4498291015626,764.5003662109374,764.5001220703125,764.454345703125
90.01287841796875,90.0,90.0,90.00260162353516,90.0,764.4478759765626,764.4478149414062,764.499755859375,764.4994506835938,764.4523315429686
90.01290130615233,90.0,90.0,90.00260925292967,90.0,764.4438476562499,764.4438476562499,764.4984130859374,764.4981079101561,764.4483642578125
90.01294708251953,90.0,90.0,90.00261688232422,90.0,764.4378662109374,764.4378662109374,764.4963989257811,764.49609375,764.4423828125
90.01300811767578,90.0,90.0,90.00263214111328,90.0,764.4287719726561,764.4287719726561,764.493408203125,764.4931640625,764.433349609375
90.01306915283203,90.0,90.0,90.00265502929686,90.0,764.4203491210938,764.4203491210938,764.4906616210938,764.4903564453125,764.4249877929686
90.0,90.0,90.0,90.0,90.0,801.2299804687501,801.2299804687501,800.268310546875,800.268310546875,801.2299804687501
90.0,90.0,90.0,90.0,90.0,795.1070556640626,795.1070556640626,794.1629028320312,794.1629028320312,795.1070556640626
90.0,90.0,90.0,90.0,90.0,789.1104125976561,789.1104125976561,788.1831665039062,788.1831665039062,789.1104125976561
90.0,90.0,90.0,90.0,90.0,783.2354736328125,783.2354736328125,782.3245849609374,782.3245849609374,783.2354736328125
90.0,90.0,90.0,90.0,90.0,777.4779663085938,777.4779663085938,776.5829467773436,776.5829467773436,777.4779663085938
90.0,90.0,90.0,90.0,90.0,771.8339233398436,771.8339233398436,770.9542236328125,770.9542236328125,771.8339233398436
90.0,90.0,90.0,90.0,90.0,766.2994384765626,766.2994384765626,765.4345703125,765.4345703125,766.2994384765626
90.0,90.0,90.0,90.0,90.0,354.11114501953125,354.11114501953125,354.11114501953125,354.11114501953125,354.11114501953125
90.0,90.0,90.0,90.0,90.0,368.79681396484375,368.79681396484375,368.79681396484375,368.79681396484375,368.79681396484375
90.0,90.0,90.0,90.0,90.0,383.4170837402344,383.4170837402344,383.4170837402344,383.4170837402344,383.4170837402344
90.0,90.0,90.0,90.0,90.0,397.9728393554688,397.9728393554688,397.9728393554688,397.9728393554688,397.9728393554688
90.0,90.0,90.0,90.0,90.0,412.4810485839844,412.4810485839844,412.4810485839844,412.4810485839844,412.4810485839844
90.0,90.0,90.0,90.0,90.0,426.9446411132813,426.9446411132813,426.9446411132813,426.9446411132813,426.9446411132813
90.0,90.0,90.0,90.0,90.0,441.36401367187506,441.36401367187506,441.36401367187506,441.36401367187506,441.36401367187506
90.0,90.0,90.0,90.0,90.0,455.7395629882813,455.7395629882813,455.7395629882813,455.7395629882813,455.7395629882813
90.0,90.0,90.0,90.0,90.0,470.07171630859375,470.07171630859375,470.07171630859375,470.07171630859375,470.07171630859375
90.0,90.0,90.0,90.0,90.0,484.36083984375,484.36083984375,484.36083984375,484.36083984375,484.36083984375
90.0,90.0,90.0,90.0,90.0,498.6072998046875,498.6072998046875,498.6072998046875,498.6072998046875,498.6072998046875
90.0,90.0,90.0,90.0,90.0,512.82421875,512.82421875,512.82421875,512.82421875,512.82421875
90.0,90.0,90.0,90.0,90.0,527.0131225585938,527.0131225585938,527.0131225585938,527.0131225585938,527.0131225585938
90.0,90.0,90.0,90.0,90.0,541.174072265625,541.174072265625,541.174072265625,541.174072265625,541.174072265625
90.0,90.0,90.0,90.0,90.0,555.3073120117188,555.3073120117188,555.3073120117188,555.3073120117188,555.3073120117188
90.0,90.0,90.0,90.0,90.0,569.4130249023438,569.4130249023438,569.4130249023438,569.4130249023438,569.4130249023438
90.0,90.0,90.0,90.0,90.0,583.4913330078125,583.4913330078125,583.4913330078125,583.4913330078125,583.4913330078125
90.0,90.0,90.0,90.0,90.0,597.5423583984375,597.5423583984375,597.5423583984375,597.5423583984375,597.5423583984375
90.0,90.0,90.0,90.0,90.0,611.57470703125,611.57470703125,611.57470703125,611.57470703125,611.57470703125
90.0,90.0,90.0,90.0,90.0,625.5901489257812,625.5901489257812,625.5901489257812,625.5901489257812,625.5901489257812
90.0,90.0,90.0,90.0,90.0,639.5887451171875,639.5887451171875,639.5887451171875,639.5887451171875,639.5887451171875
90.0,90.0,90.0,90.0,90.0,653.5706176757812,653.5706176757812,653.5706176757812,653.5706176757812,653.5706176757812
90.0,90.0,90.0,90.0,90.0,667.5357666015625,667.5357666015625,667.5357666015625,667.5357666015625,667.5357666015625
90.0,90.0,90.0,90.0,90.0,681.4842529296875,681.4842529296875,681.4842529296875,681.4842529296875,681.4842529296875
90.0,90.0,90.0,90.0,90.0,695.4161376953125,695.4161376953125,695.4161376953125,695.4161376953125,695.4161376953125
90.0,90.0,90.0,90.0,90.0,709.333740234375,709.333740234375,709.333740234375,709.333740234375,709.333740234375
90.0,90.0,90.0,90.0,90.0,723.2381591796875,723.2381591796875,723.2381591796875,723.2381591796875,723.2381591796875
90.0,90.0,90.0,90.0,90.0,737.1294555664062,737.1294555664062,737.1294555664062,737.1294555664062,737.1294555664062
90.0,90.0,90.0,90.0,90.0,751.007568359375,751.007568359375,751.007568359375,751.007568359375,751.007568359375
90.0,90.0,90.0,90.0,90.0,764.8726806640626,764.8726806640626,764.8726806640626,764.8726806640626,764.8726806640626
90.0,90.0,90.0,90.0,90.0,778.7247314453125,778.7247314453125,778.7247314453125,778.7247314453125,778.7247314453125
90.0,90.0,90.0,90.0,90.0,792.563720703125,792.563720703125,792.563720703125,792.563720703125,792.563720703125
90.0,90.0,90.0,90.0,90.0,806.3867797851561,806.3867797851561,806.3867797851561,806.3867797851561,806.3867797851561
90.0,90.0,90.0,90.0,90.0,820.1904907226561,820.1904907226561,820.1904907226561,820.1904907226561,820.1904907226561
90.0,90.0,90.0,90.0,90.0,833.9749145507811,833.9749145507811,833.9749145507811,833.9749145507811,833.9749145507811
90.0,90.0,90.0,90.0,90.0,847.7401123046875,847.7401123046875,847.7401123046875,847.7401123046875,847.7401123046875
90.0,90.0,90.0,90.0,90.0,861.4862060546875,861.4862060546875,861.4862060546875,861.4862060546875,861.4862060546875
90.0,90.0,90.0,90.0,90.0,875.2132568359374,875.2132568359374,875.2132568359374,875.2132568359374,875.2132568359374
90.0,90.0,90.0,90.0,90.0,888.9213256835938,888.9213256835938,888.9213256835938,888.9213256835938,888.9213256835938
90.0,90.0,90.0,90.0,90.0,902.6099243164062,902.6099243164062,902.6099243164062,902.6099243164062,902.6099243164062
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,110.0,110.00001525878906,110.0,115.14190673828124,780.6655883789062,780.6108398437501,782.403564453125,783.382080078125,774.2514038085938
110.0,110.0,110.00001525878906,110.0,116.22097778320312,779.4467163085938,779.3666381835938,775.9765625,781.0979614257811,772.8748168945312
110.0,110.0,110.0000228881836,110.00000762939452,117.29157257080078,778.1529541015626,778.0565185546875,768.9301147460938,778.1514282226561,771.4004516601561
110.0,110.0,110.0000228881836,110.00000762939452,118.29782104492188,776.8071899414062,776.7006835937501,762.2626953125,774.4779663085938,769.8843383789062
110.0,110.0,110.00003051757812,110.00000762939452,119.25125122070312,775.4196166992188,775.3070068359374,756.3493041992188,770.7223510742188,768.3366088867188
110.0,110.0,110.00003051757812,110.00000762939452,120.15998840332033,773.9979858398436,773.8818969726561,750.8526611328125,765.0101928710938,766.7645874023436
110.0,110.0,110.0,110.0,110.0,792.0100708007811,792.0101318359374,790.9375610351561,790.9508666992188,791.8204345703125
110.0,110.0,110.0,110.0,110.0,791.849853515625,791.849853515625,790.8959960937501,790.9088134765626,791.6597900390626
110.0,110.0,110.0,110.0,110.0,791.6903686523436,791.6903686523436,790.8291015625,790.841552734375,791.5005493164062
110.0,110.0,110.0,110.0,110.0,791.5306396484374,791.5306396484374,790.7422485351561,790.7543334960938,791.3414306640626
110.0,110.0,110.0,110.0,110.0,791.3702392578125,791.3701782226561,790.6394653320312,790.6513671875,791.1817626953125
110.0,110.0,110.0,110.0,110.0,791.2088623046875,791.2088012695312,790.5240478515626,790.5357055664062,791.0211791992188
110.0,110.0,110.0,110.0,110.0,791.0465087890626,791.0465087890626,790.3984985351561,790.4099731445312,790.8597412109374
110.0,110.0,110.0,110.0,110.0,790.8831176757811,790.883056640625,790.2646484375,790.2760009765626,790.698486328125
110.0,110.0,110.0,110.0,110.0,790.71875,790.7186889648436,790.1242065429686,790.135498046875,790.5445556640626
110.0,110.0,110.0,110.0,110.0,790.5535278320312,790.5535278320312,789.9783935546875,789.9896850585938,790.3895263671875
110.0,110.0,110.0,110.0,110.0,790.3876342773436,790.3875732421875,789.8282470703125,789.8394775390626,790.2329101562499
110.0,110.0,110.0,110.0,110.0,790.2210693359374,790.2210693359374,789.6744995117188,789.6858520507811,790.0759887695312
110.0,110.0,110.0,110.0,110.0,790.0540771484374,790.0540161132812,789.517822265625,789.5293579101561,789.9207763671875
110.0,110.0,110.0,110.0,110.0,789.8865966796875,789.8865356445312,789.3587036132812,789.3705444335938,789.7657470703125
110.0,110.0,110.0,110.0,110.0,789.71875,789.71875,789.1976318359374,789.2098388671875,789.6135864257811
110.0,110.0,110.0,110.0,109.9999542236328,789.5506591796875,789.5506591796875,789.0348510742188,789.0476684570312,789.4598999023436
110.0,110.0,110.0,110.0,110.00222778320312,789.3823852539062,789.3823242187501,788.8707275390626,788.8842773437501,789.2716064453125
110.0,110.0,110.0,110.0,110.02915954589844,789.2141723632812,789.2141723632812,788.7054443359374,788.7198486328125,789.0145874023436
110.0,110.0,110.0,110.0,110.12284851074217,789.060791015625,789.0604858398436,788.5392456054686,788.5546875,788.692626953125
110.0,110.0,110.0,110.0,110.29275512695312,788.9106445312499,788.9098510742188,788.3722534179686,788.3888549804686,788.1746826171875
110.0,110.0,110.0,110.0,110.5096969604492,788.7478637695312,788.7470703125,788.2045898437501,788.2225341796875,787.3451538085938
110.0,110.0,110.0,110.0,110.74799346923828,788.5823974609374,788.5815429687501,788.036376953125,788.0557861328125,786.7714233398436
110.0,110.0,110.0,110.0,110.99093627929688,788.415283203125,788.4144287109374,787.8676757812499,787.888916015625,786.342529296875
110.0,110.0,110.0,110.0,111.22642517089844,788.2478637695312,788.2471313476561,787.6986694335938,787.7218627929686,785.9613647460938
110.0,110.0,110.0,110.0,111.4520263671875,788.0819702148436,788.081298828125,787.5293579101561,787.5563354492188,785.5791625976561
110.0,110.0,110.0,110.0,111.66764831542967,787.9194335937501,787.9188232421875,787.3600463867188,787.3970336914062,785.2479248046875
110.0,110.0,110.0,110.0,111.87250518798828,787.7603149414062,787.7598266601561,787.1911010742188,787.2411499023436,784.950439453125
110.0,110.0,110.0,110.0,112.06785583496092,787.5751953125,787.5746459960938,787.0275268554686,787.0789794921875,784.5714111328125
110.0,110.0,110.0,110.0,112.26261901855467,787.3408203125,787.3382568359374,786.8619995117188,786.9131469726561,784.0184326171875
110.0,110.0,110.0,110.0,112.44831848144533,787.0772705078125,787.0741577148436,786.6959838867188,786.7485961914062,783.3567504882812
110.0,110.0,110.0,110.0,112.62775421142578,786.7748413085938,786.7717895507811,786.5291137695312,786.5840454101561,782.6010131835938
110.0,110.0,110.0,110.0,112.80186462402344,786.302734375,786.297119140625,786.3596801757811,786.4196166992188,781.7716064453125
110.0,110.0,110.0,110.0,112.97239685058592,785.5505981445312,785.4848022460938,786.1795043945312,786.254150390625,780.9067993164062
110.0,110.0,110.0,110.0,113.14110565185545,784.8787231445312,784.8297729492188,785.9865112304686,786.0850219726561,780.0250244140626
110.0,110.0,110.0,110.0,113.30968475341795,784.3544311523436,784.3280639648436,785.7727661132812,785.8966674804686,779.1072998046875
110.0,110.0,110.00000762939452,110.0,113.48828887939452,783.8324584960938,783.8118896484374,785.5325927734374,785.6876220703125,778.2002563476561
110.0,110.0,110.00000762939452,110.0,113.79224395751952,783.2641601562499,783.2349243164062,785.2589721679686,785.459228515625,777.2699584960938
110.0,110.0,110.00000762939452,110.0,114.17222595214844,782.5925903320312,782.541259765625,784.9575195312499,785.1971435546875,776.2969970703125
110.0,110.0,110.00001525878906,110.0,114.50516510009764,781.7777099609374,781.7319946289062,784.2720336914062,784.5911865234374,775.3600463867188
110.0,110.0,110.00001525878906,110.0,115.14190673828124,780.6655883789062,780.6108398437501,782.403564453125,783.382080078125,774.2514038085938
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.4188995361328,114.2771224975586,113.3658981323242,124.49002075195312,131.2297210693359,289.703857421875,289.70318603515625,289.7474365234375,287.82522583007807,290.7763366699219
164.79754638671875,114.98492431640624,113.97303771972656,124.22091674804688,131.7370452880859,287.04833984375,287.047607421875,285.3653564453125,284.7541198730469,288.0564270019531
164.0522308349609,115.63020324707033,114.55448150634764,123.91378784179688,132.09295654296875,284.51287841796875,284.51223754882807,281.40484619140625,281.7301025390625,285.39727783203125
163.2561798095703,116.210205078125,115.1063232421875,123.5966339111328,132.336181640625,282.0839538574219,282.0834350585937,277.77587890625,278.7637939453125,282.8172607421875
162.44117736816406,116.72758483886717,115.62648010253906,123.28678131103516,132.49237060546875,279.7309265136719,279.73049926757807,274.4231872558594,275.8749084472656,280.308349609375
161.22531127929688,117.38204956054688,116.33377838134764,122.86571502685545,132.58409118652344,276.3089294433594,276.30865478515625,269.8847351074219,271.74676513671875,276.6747436523437
160.0421142578125,117.93582153320312,116.96963500976562,122.49823760986328,132.5690765380859,272.9579467773437,272.957763671875,265.7410583496094,267.82913208007807,273.1441955566406
